##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] name=bootctx_alias_A0006000 changed_words=0
[DIFF_REGION] name=bootparam_alias_A001D000 changed_words=1
[DIFF_REGION] name=bootparam_alias_A002D000 changed_words=0
[DIFF_REGION] name=callback_globals_80679400 changed_words=0
[DIFF_REGION] name=callback_table_A0051680 changed_words=156
[DIFF_REGION] name=fptr_table_80075580 changed_words=0
[DIFF_REGION] name=kdata_extended_2400 changed_words=1
[DIFF_REGION] name=kdata_page changed_words=1
[DIFF_REGION] name=obj_table_8066BFC0 changed_words=0
[DIFF_REGION] name=obj_table_8067BFC0 changed_words=0
[DIFF_REGION] name=objptr_table_80660000 changed_words=4
[DIFF_REGION] name=objptr_table_80660000 changed_words=5
[DIFF_REGION] name=scheduler_code_2B400 changed_words=0
[DIFF_REGION] name=stack_frame_PA_1000 changed_words=29
[DIFF_REGION] name=vr4131_core_page skipped baseline_ok=0 post_ok=0
[DIFF_REGION] name=vrc4173_base changed_words=5
[DIFF_REGION] name=vrc4173_base changed_words=7
[DIFF_REGION] name=vrc4173_page_1000 changed_words=17
[DIFF_REGION] name=vrc4173_page_2000 changed_words=12
[DIFF_REGION] name=vrc4173_page_A000 changed_words=13
[DIFF_REGION] name=vrc4173_page_A000 changed_words=23
[DIFF_REGION] name=vrc4173_page_C000 changed_words=0
[DIFF_REGION] pair=early_to_post name=bootctx_alias_A0006000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=bootparam_alias_A001D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=bootparam_alias_A001D000 changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=early_to_post name=bootparam_alias_A002D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=callback_globals_80679400 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=callback_table_51600 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=kdata_page changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=early_to_post name=kdata_page changed_words_total=2 detailed_words_logged=2
[DIFF_REGION] pair=early_to_post name=obj_table_8066BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=obj_table_8067BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=10 detailed_words_logged=10
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=11 detailed_words_logged=11
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=12 detailed_words_logged=12
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=4 detailed_words_logged=4
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=5 detailed_words_logged=5
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=6 detailed_words_logged=6
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=7 detailed_words_logged=7
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=8 detailed_words_logged=8
[DIFF_REGION] pair=early_to_post name=objptr_table_80660000 changed_words_total=9 detailed_words_logged=9
[DIFF_REGION] pair=early_to_post name=resume_context_2200 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=11 detailed_words_logged=11
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=13 detailed_words_logged=13
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=14 detailed_words_logged=14
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=16 detailed_words_logged=16
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=17 detailed_words_logged=17
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=18 detailed_words_logged=18
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=19 detailed_words_logged=19
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=20 detailed_words_logged=20
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=21 detailed_words_logged=21
[DIFF_REGION] pair=early_to_post name=stack_frame_1700 changed_words_total=22 detailed_words_logged=22
[DIFF_REGION] pair=early_to_post name=vr4131_bcu_window changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_post name=vr4131_core_page skipped from_ok=0 to_ok=0
[DIFF_REGION] pair=early_to_post name=vr4131_icu_pmu_window changed_words_total=2 detailed_words_logged=2
[DIFF_REGION] pair=early_to_post name=vr4131_icu_pmu_window changed_words_total=3 detailed_words_logged=3
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=110 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=16 detailed_words_logged=16
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=20 detailed_words_logged=20
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=21 detailed_words_logged=21
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=210 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=257 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=26 detailed_words_logged=26
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=314 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=328 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=36 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=378 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=387 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=394 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=44 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=49 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=54 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=59 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=63 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=69 detailed_words_logged=32
[DIFF_REGION] pair=early_to_post name=vrc4173_base changed_words_total=70 detailed_words_logged=32
